Country & Location,Forest Type,Stand Age,Elev m,Soil Type,Soil Order Code,Soil Texture Code,Precipmm,Precip Group,Precip Code,AirTempMean,Air Temp Min,Air Temp Max,TNPP,Continent
"India - Tarai belt, Central Himalaya",Eucalyptus tereticornis,6,300,"deep fertile moist alluvial loam entisols, 25.4% sand, 50.3% silt, 24.3% clay",7,7,1593,dry,,22.9,14.4,31.3,21.6,South Asia
"India - Tarai belt, Central Himalaya",Eucalyptus tereticornis,7,300,"deep fertile moist alluvial loam entisols, 25.4% sand, 50.3% silt, 24.3% clay",7,7,1593,dry,,22.9,14.4,31.3,22.9,South Asia
"India - Tarai belt, Central Himalaya",Eucalyptus tereticornis,8,300,"deep fertile moist alluvial loam entisols, 25.4% sand, 50.3% silt, 24.3% clay",7,7,1593,dry,,22.9,14.4,31.3,23.4,South Asia
"India - Udham Singh Nagar district, Tarai belt, Central Himalaya","native deciduous tree, Shisham (Dalbergia sissoo) forests",5,250,"deep fertile moist alluvial loam entisols, 25.2% sand, 38.1% silt, 36.7% clay",7,11,290,dry,,,4.5,37,12.6,South Asia
"India - Udham Singh Nagar district, Tarai belt, Central Himalaya","native deciduous tree, Shisham (Dalbergia sissoo) forests",10,250,"deep fertile moist alluvial loam entisols, 24.3% sand, 40.0% silt, 35.7% clay",7,11,290,dry,,,4.5,37,16.3,South Asia
"India - Udham Singh Nagar district, Tarai belt, Central Himalaya","native deciduous tree, Shisham (Dalbergia sissoo) forests",15,250,"deep fertile moist alluvial loam entisols, 23.1% sand, 41.9% silt, 35.0% clay",7,11,290,dry,,,4.5,37,20.3,South Asia
India,Pinus elliottii,10,640,"Alluvial, non calcareous, ferruginous, sandy loam to loam",7,3,2060,Moist,,20,13,28,14.3,South Asia
India,Pinus elliottii,20,640,"Alluvial, non calcareous, ferruginous, sandy loam to loam",7,3,2060,Moist,,20,13,28,10.8,South Asia
India,Pinus elliottii,30,640,"Alluvial, non calcareous, ferruginous, sandy loam to loam",7,3,2060,Moist,,20,13,28,8.8,South Asia
India,Pinus elliottii,40,640,"Alluvial, non calcareous, ferruginous, sandy loam to loam",7,3,2060,Moist,,20,13,28,12.7,South Asia
,,,, ,,,,,,,,,,
*Coarse root calculated as 20% of aboveground biomass,,,,,,,,,,,,,,
